258, -155, 744
207, 379, 744
325, 791, 1522
534, 953, 1996
568, 917, 1998
512, 748, 1998
440, 421, 1998
440, 421, 1998
464, 107, 1924
-,-,-
42, 1341, 991
42, 1341, 991
69, 1200, 766
390, 845, 976
695, 335, 1052
843, -212, 1425
714, -651, 1348
543, -1030, 1293
531, -1427, 1235
531, -1427, 1235
536, -1713, 685
410, -1918, 217
377, -1998, -61
313, -1879, -419
247, -1352, -660
318, -542, -197
262, 395, 513
304, 889, 1287
442, 1009, 1922
690, 952, 1998
690, 952, 1998
559, 847, 1998
333, 634, 1998
311, 318, 1998
396, -4, 1745
368, -155, 1348
-,-,-
469, 384, 808
629, -363, 765
656, -1200, 1181
679, -1850, 1181
857, -1998, 1071
774, -1990, 282
451, -1576, -153
336, -1089, -52
336, -1089, -52
335, -584, 295
362, -336, 601
250, -192, 864
316, -47, 1392
322, 54, 1545
175, 220, 1422
175, 220, 1422
-1, 329, 1322
-40, 299, 1498
17, 187, 1604
-,-,-
110, 1167, 1068
110, 1167, 1068
356, 587, 847
535, -74, 809
657, -892, 654
724, -1485, 613
617, -1950, 586
473, -1998, 431
392, -1998, -53
392, -1998, -53
312, -1621, -394
377, -895, -80
489, -387, 585
495, -35, 1228
456, 263, 1862
456, 446, 1998
342, 647, 1998
-,-,-
311, 1427, 1138
-379, 1938, 1442
-808, 1997, 1070
-403, 1997, 1221
404, 1927, 1188
836, 1286, 927
-162, 630, 1219
-166, -150, 1174
768, -1304, 1001
1760, -1998, 564
1998, -1998, -1150
1865, -1998, -1997
1235, -1998, -1997
1192, -1722, -1139
1182, -560, 1608
1071, 479, 1998
603, 1413, 1998
-284, 1964, 1998
-677, 1997, 1998
-583, 1941, 1971
-238, 1494, 1998
10, 983, 1648
-,-,-
170, 1992, 1213
-130, 1997, 1428
-497, 1969, 1660
-593, 1214, 1589
69, -263, 1227
1437, -1785, 317
1998, -1998, -852
1753, -1998, -1650
1509, -1998, -1802
867, -1998, -1155
194, -1318, -396
-293, -113, 738
89, 630, 1251
841, 1242, 1829
841, 1242, 1829
347, 1768, 1998
-408, 1935, 1998
-542, 1669, 1998
-19, 1206, 1998
470, 710, 1652
-,-,-
-842, 1976, 1073
-1066, 1336, 650
-225, 54, 867
1763, -1525, 643
1998, -1998, -511
1638, -1998, -495
1050, -1998, 313
874, -1821, 819
898, -1137, 1214
595, -388, 1331
93, 389, 1674
175, 873, 1998
175, 873, 1998
52, 1219, 1998
-277, 1334, 1998
-467, 1161, 1925
-262, 825, 1504
-34, 503, 1291
154, 275, 1044
267, 120, 720
179, 51, 598
179, 51, 598
156, 19, 787
-,-,-
217, 1812, 1336
-617, 1989, 1731
-836, 1997, 1256
-907, 1997, 1025
-193, 1638, 1027
275, 493, 1191
1235, -1018, 1617
1998, -1996, 802
1998, -1998, -561
1475, -1998, -1703
239, -1998, -1997
-240, -1854, -1965
-13, -958, -775
176, 18, 199
425, 960, 1119
425, 960, 1119
434, 1672, 1998
101, 1860, 1998
14, 1662, 1998
78, 1361, 1998
67, 1042, 1809
40, 632, 1390
233, 180, 1277
233, 180, 1277
-,-,-
-162, 1960, 1078
-505, 1921, 1118
-722, 1658, 1636
-307, 901, 1318
787, -377, 134
1953, -1825, -102
1998, -1998, -839
1989, -1998, -1873
1555, -1998, -1262
829, -1923, 270
283, -1202, 578
293, -535, 527
393, 49, 970
393, 49, 970
378, 588, 1350
20, 1094, 1812
-419, 1411, 1911
-493, 1411, 1882
-410, 1221, 1876
-91, 900, 1582
208, 587, 1405
208, 587, 1405
321, 396, 1413
-,-,-
-212, 645, 1470
768, -281, 1917
1959, -1391, 751
1998, -1998, -805
1764, -1998, -1342
1025, -1998, -1463
626, -1998, -1313
478, -1803, -719
247, -1095, 95
195, -497, 226
339, 84, 364
308, 708, 1151
415, 1136, 1599
402, 1136, 1993
402, 1473, 1993
-34, 1537, 1998
-382, 1324, 1998
-375, 1026, 1918
-63, 680, 1368
234, 392, 928
256, 201, 999
174, 67, 1188
-,-,-
246, -216, 1986
246, -216, 1986
1258, -1452, 1537
1947, -1998, -1019
1765, -1998, -1997
408, -1998, -1941
539, -1604, -966
539, -1604, -966
819, -642, 334
575, 303, 1215
350, 1070, 1695
155, 1622, 1991
34, 1812, 1998
-171, 1698, 1998
-332, 1372, 1998
-69, 879, 1491
273, 470, 1170
273, 470, 1170
400, 218, 1054
413, 15, 825
365, -92, 997
326, -106, 1202
-,-,-
294, 892, 1141
285, 115, 1493
975, -769, 1541
1907, -1747, 922
1824, -1998, 164
1230, -1998, -888
427, -1998, -1713
35, -1987, -1610
202, -1581, -868
384, -965, -15
213, -430, 438
4, 131, 624
4, 131, 624
201, 674, 1285
540, 953, 1908
504, 1045, 1998
413, 964, 1998
413, 964, 1998
188, 821, 1937
48, 608, 1728
-,-,-
873, -1700, 1165
965, -1998, 465
701, -1998, -1585
376, -1998, -1997
560, -1839, -1980
579, -739, -236
898, 246, 1252
898, 246, 1252
1069, 1174, 1688
391, 1860, 1998
-63, 1950, 1998
-509, 1752, 1998
-318, 1307, 1905
-36, 878, 1638
189, 459, 1175
-,-,-
1996, -1998, -1994
1552, -1998, -1997
887, -1976, -1934
542, -1102, -356
661, -79, 1198
1003, 708, 1884
681, 1334, 1998
53, 1602, 1998
-354, 1589, 1998
-216, 1357, 1998
149, 1095, 1932
149, 1095, 1932
189, 864, 1566
188, 611, 1235
170, 383, 1078
308, 156, 1158
-,-,-
867, -1949, 238
450, -1997, -1754
787, -1998, -1997
790, -1958, -1996
602, -1203, -884
469, -309, 460
880, 399, 1349
884, 1100, 1998
213, 1520, 1998
-81, 1575, 1998
-81, 1575, 1998
-35, 1341, 1998
99, 1031, 1994
-11, 698, 1432
-52, 400, 1041
125, 164, 1297
-,-,-
224, -345, 1642
879, -1206, 1185
1467, -1951, 140
1467, -1951, 140
1524, -1998, -1495
1019, -1998, -1977
642, -1488, -881
428, -488, 486
428, -488, 486
513, 275, 1163
298, 915, 1700
-97, 1383, 1998
-296, 1497, 1998
-37, 1291, 1998
73, 1057, 1998
82, 789, 1855
82, 789, 1855
211, 492, 1437
393, 233, 1239
503, 11, 1190
463, -126, 1176
-,-,-
966, -1998, -1991
871, -1564, -1325
750, -746, 542
750, -746, 542
865, -54, 1152
852, 645, 1736
120, 1249, 1998
-790, 1471, 1998
-769, 1267, 1962
-334, 969, 1718
0, 746, 1436
117, 570, 1500
117, 570, 1500
134, 463, 1431
-,-,-
1043, -1998, 59
942, -1998, -1709
564, -1998, -1997
448, -1970, -1077
609, -1302, 218
721, -409, 665
721, -409, 665
767, 344, 1505
552, 970, 1990
228, 1321, 1998
-93, 1360, 1998
-120, 1194, 1938
42, 913, 1593
231, 672, 1335
231, 672, 1335
309, 487, 1435
280, 334, 1410
304, 170, 1347
420, 12, 1334
-,-,-
-424, 1772, 1578
-250, 1486, 1289
189, 902, 1089
51, 239, 1105
343, -616, 1253
1335, -1607, 586
1739, -1998, -950
1301, -1998, -1968
726, -1998, -1828
234, -1998, -1833
198, -1687, -992
259, -1014, -61
119, -351, 381
345, 209, 812
345, 209, 812
1004, 692, 1562
886, 1275, 1998
94, 1605, 1998
-193, 1465, 1998
-9, 1060, 1893
205, 640, 1324
285, 274, 1098
285, 274, 1098
326, 1, 1250
-,-,-
85, 1892, 1544
272, 1380, 1539
-173, 848, 1334
27, 2, 1209
811, -1015, 1012
1708, -1900, 468
1806, -1998, -973
1095, -1998, -1925
341, -1998, -1772
26, -1937, -1213
174, -1474, -371
436, -982, 530
271, -452, 761
271, -452, 761
226, 9, 749
580, 450, 1227
996, 873, 1960
927, 1185, 1998
463, 1306, 1998
138, 1313, 1998
138, 1313, 1998
-28, 1087, 1984
190, 761, 1636
332, 471, 1172
358, 213, 946
-,-,-
637, 1233, 1502
272, 1497, 1529
-111, 1764, 1271
-274, 1774, 1163
-177, 1591, 812
-326, 1340, 544
-547, 1000, 627
-547, 1000, 627
-434, 407, 723
375, -549, 796
1372, -1694, 818
1717, -1998, -4
1725, -1998, -1088
1179, -1998, -1677
809, -1998, -972
633, -1571, 212
570, -591, 734
621, 288, 1272
736, 1037, 1779
378, 1604, 1998
378, 1604, 1998
39, 1893, 1998
-196, 1821, 1998
-160, 1419, 1856
14, 1014, 1318
267, 645, 1124
-,-,-
-636, 1990, 1738
346, 1716, 1088
761, 760, 995
761, 760, 995
933, -445, 1060
1220, -1506, 445
1098, -1994, -498
990, -1998, -612
1040, -1998, -647
609, -1998, -632
237, -1897, -444
426, -1204, 237
504, -382, 687
462, 406, 1273
358, 970, 1860
245, 1330, 1998
245, 1330, 1998
60, 1399, 1998
33, 1252, 1998
147, 1010, 1652
124, 705, 1365
185, 434, 1290
214, 199, 1133
-,-,-
310, 1311, 777
447, 1504, 1243
57, 1575, 1762
-183, 1684, 1553
86, 1351, 1106
204, 861, 1158
204, 861, 1158
183, 308, 1235
457, -330, 1180
1027, -1042, 1006
1560, -1786, 854
1515, -1998, 305
971, -1998, -629
262, -1998, -1726
-4, -1975, -1997
204, -1384, -1705
338, -455, 118
259, 386, 1213
